FIPS,State,County,PCT_DIABETES_ADULTS13,FFRPTH11,FSRPTH11,POVRATE15,MEDHHINC15,PCT_65OLDER10,PCT_18YOUNGER10,METRO13,RECFACPTH11,PC_DIRSALES12,PCT_LACCESS_POP10,GROCPTH11,PC_SNAPBEN12
1001,AL,Autauga,13,0.615953188,0.579720647,12.7,56580,11.99538216,26.77795899,1,0.072465081,5.582238333,33.7696573,0.090581351,18.47148705
1003,AL,Baldwin,10.4,0.648675309,1.15796584,12.9,52387,16.77118481,22.98740844,1,0.085775247,3.403432845,19.3184726,0.14474573,15.89072227
1005,AL,Barbour,18.4,0.694672955,0.621549486,32,31433,14.23680664,21.90698183,0,0.073123469,0.47866269,20.84097171,0.219370407,31.11622238
1007,AL,Bibb,14.8,0.26379424,0.219828534,22.2,40767,12.68164957,22.69692341,1,0,0.883314195,4.559752683,0.26379424,22.43504906
1009,AL,Blount,14.1,0.347451444,0.260588583,14.7,50487,14.72209623,24.60835281,1,0.0521177,8.56757131,2.700840095,0.121608005,20.27230453
1011,AL,Bullock,19.6,0.37470726,0.18735363,39.6,28251,13.45977643,22.26498076,0,0,5.468602678,37.47465226,0.18735363,33.89244843
1013,AL,Butler,17.7,0.814176245,0.670498084,25.8,33868,16.6563231,24.13710794,0,0,6.419051352,6.243470213,0.143678161,32.66789246
1015,AL,Calhoun,14.9,0.772594133,0.662223543,20,42091,14.32884661,22.87723915,1,0.067920363,2.42995754,26.06108574,0.20376109,29.97523117
1017,AL,Chambers,16.4,0.675854368,0.528929505,22.4,35560,16.6768961,22.51351746,0,0,1.966250917,19.72296719,0.23507978,28.58197403
1019,AL,Cherokee,13.3,0.654022237,0.269303274,19.4,39144,17.89603294,21.41675324,0,0.0384719,1.191253891,0.305553252,0.153887585,27.42250252
1021,AL,Chilton,13.3,0.480681194,0.480681194,20.2,42767,13.56689503,25.11284742,1,0.0457792,19.08597844,3.337712557,0.160227065,28.17595863
1023,AL,Choctaw,18.1,0.440949511,0.440949511,24.4,35089,18.17591457,22.66397287,0,0,1.919810972,18.84879045,0.220474756,31.94208908
1025,AL,Clarke,16.3,0.938159643,0.508169807,22.2,37317,16.15762784,24.73193202,0,0.07817997,1.670378619,19.58990819,0.195449926,33.35056305
1027,AL,Clay,14.6,0.292226768,0.438340152,18.4,38908,17.57823715,22.5667528,0,0,2.898335315,5.331407536,0.219170076,19.7446785
1029,AL,Cleburne,12.6,0.535905681,0.20096463,18.9,42136,15.76943628,23.7176062,0,0,0.603176731,0.980921025,0.20096463,23.72556877
